Item,Label_0_Probability,Label_1_Probability,Label_2_Probability,Most_Probable_Label,Confidence
Item_1,0.358919,0.512865,0.128216,Label_1,0.512865
Item_2,0.346875,0.375123,0.278002,Label_1,0.375123
Item_3,0.456652,0.376908,0.166440,Label_0,0.456652
Item_4,0.211366,0.577268,0.211366,Label_1,0.577268
Item_5,0.456652,0.376908,0.166440,Label_0,0.456652
Item_6,0.122661,0.513002,0.364336,Label_1,0.513002
Item_7,0.352997,0.125574,0.521429,Label_2,0.521429
Item_8,0.532487,0.326838,0.140676,Label_0,0.532487
Item_9,0.491886,0.385143,0.122971,Label_0,0.491886
Item_10,0.456488,0.112964,0.430548,Label_0,0.456488
