Item,Worker,Spammer_Probability
Item_1,Worker_1,0.769297
Item_1,Worker_2,0.656492
Item_1,Worker_3,0.553451
Item_1,Worker_4,0.615351
Item_1,Worker_5,0.579946
Item_1,Worker_6,0.543695
Item_1,Worker_7,0.604894
Item_1,Worker_8,0.579948
Item_2,Worker_1,0.702149
Item_2,Worker_2,0.808716
Item_2,Worker_3,0.553451
Item_2,Worker_4,0.538450
Item_2,Worker_5,0.711596
Item_2,Worker_6,0.543695
Item_2,Worker_7,0.604894
Item_2,Worker_8,0.739844
Item_3,Worker_1,0.789532
Item_3,Worker_2,0.656492
Item_3,Worker_3,0.553451
Item_3,Worker_4,0.538450
Item_3,Worker_5,0.579946
Item_3,Worker_6,0.543695
Item_3,Worker_7,0.709787
Item_3,Worker_8,0.579948
Item_4,Worker_1,0.702149
Item_4,Worker_2,0.634098
Item_4,Worker_3,0.553451
Item_4,Worker_4,0.538450
Item_4,Worker_5,0.579946
Item_4,Worker_6,0.543695
Item_4,Worker_7,0.604894
Item_4,Worker_8,0.579948
Item_5,Worker_1,0.789532
Item_5,Worker_2,0.656492
Item_5,Worker_3,0.553451
Item_5,Worker_4,0.538450
Item_5,Worker_5,0.579946
Item_5,Worker_6,0.543695
Item_5,Worker_7,0.709787
Item_5,Worker_8,0.579948
Item_6,Worker_1,0.702149
Item_6,Worker_2,0.758325
Item_6,Worker_3,0.609659
Item_6,Worker_4,0.538450
Item_6,Worker_5,0.579946
Item_6,Worker_6,0.543695
Item_6,Worker_7,0.604894
Item_6,Worker_8,0.579948
Item_7,Worker_1,0.772576
Item_7,Worker_2,0.656492
Item_7,Worker_3,0.604145
Item_7,Worker_4,0.538450
Item_7,Worker_5,0.579946
Item_7,Worker_6,0.543695
Item_7,Worker_7,0.604894
Item_7,Worker_8,0.579948
Item_8,Worker_1,0.813838
Item_8,Worker_2,0.656492
Item_8,Worker_3,0.553451
Item_8,Worker_4,0.538450
Item_8,Worker_5,0.608189
Item_8,Worker_6,0.543695
Item_8,Worker_7,0.604894
Item_8,Worker_8,0.579948
Item_9,Worker_1,0.702149
Item_9,Worker_2,0.737828
Item_9,Worker_3,0.553451
Item_9,Worker_4,0.538450
Item_9,Worker_5,0.579946
Item_9,Worker_6,0.631086
Item_9,Worker_7,0.604894
Item_9,Worker_8,0.579948
Item_10,Worker_1,0.682415
Item_10,Worker_2,0.656476
Item_10,Worker_3,0.553451
Item_10,Worker_4,0.538450
Item_10,Worker_5,0.579946
Item_10,Worker_6,0.543695
Item_10,Worker_7,0.604894
Item_10,Worker_8,0.579948
